"annotation_id","annotator","comment","created_at","id","lead_time","sentiment","updated_at"
43,"1","Voy a copiar y pegar mi comentario que dejé en el podcast de ABP porque es literalmente mi mayor opinión del formato:
Me parece bastante tonto lo de sortear playoffs. Si ya van a hacer una fase de liga comprométanse y que juegue el mejor contra el peor y listo (9-24, 10-23, etc)

Hazlo en plan como se hace la NFL, o como se hacía la Libertadores (no sé si aún se hace). Dale una importancia a las posiciones o van a importar aún menos","2025-02-28T10:18:48.985322Z",42,5.671,"Irrelevant","2025-02-28T10:18:48.985354Z"
44,"1","Yo creo que este formato esta mucho mejor, como siempre hay equipos favoritos que se dan por hecho que pasan pero han fallado muchos, con el formato antiguo ya viendo los grupos se sabia quien pasaba y quien no, con alguna sorpresa que se iba a europa league pero no mucho más, en esta hasta la ultima fecha habia duelos por abajo y por arriba.","2025-02-28T10:19:17.628104Z",43,4.001,"Positive","2025-02-28T10:19:17.628159Z"
45,"1","se viene la superliga chavules
podias hacer un video hablando de su formato por cierto, desde un punto de vista objetivo ya que no trabajais en movistar y teneis pelo","2025-02-28T10:19:25.846296Z",44,6.631,"Irrelevant","2025-02-28T10:19:25.846338Z"
46,"1","Si hay una forma de corregir lo del 24 vs el 8:

Hacer sorteo/acomodo fase por fase y los bombos se armen en base a la clasificación.","2025-02-28T10:19:30.407663Z",45,2.944,"Irrelevant","2025-02-28T10:19:30.407702Z"
47,"1","4 grupos de 9 equipos, juegan en este mismo formato (entre ellos). Del 1ro al 3ro entran directos. 4to y 5to van a sorteo con los 4tos y 5tos de los otros grupos para un playoff a octavos. Ahi creo que se hace un poco más justo y la UEFA sigue teniendo sus partidos.","2025-02-28T10:19:37.594037Z",46,2.94,"Irrelevant","2025-02-28T10:19:37.594081Z"
48,"1","Me parece que solo se esta considerando desde el punto de vista de los clubes grandes y se esta ignorando el de los clubes mas pequeños. Cuando en el formato anterior era seguro que todos los clubes del bombo 1 llegaban a 8vos, hoy solo clasificaron 5 y 3 de los demás bombos, y quien te dice no cae alguno mas en un mal día de 16avos. Por otra parte, el mismo privilegio del City lo tuvo el Brujas, lo tuvo el Lisboa que también clasificaron a 16avo con menos de la mitad de los puntos. Hoy esta Champions 24/25 casi garantiza que un equipo del bombo 3 o 4 este en 4tos de final, y quien te dice con suerte no sea una semifinal.  15 equipos jugándose o la clasificación a 16avos o aliviar el calendario entrando directo a 8vos. Me parece que el concepto de darle vidas a los equipos aplica también a los mas pequeños y quien te dice, en un mano a mano, no den la sorpresa como en las Champions League de antaño. Me parece mas positivo que negativo por todo ello, obviamente tiene cosas para corregir. Y me gustaría saber algo que se utiliza mucho para definir si sirvió algo hoy en día, que son las interacciones en internet y redes sociales. Saludos, abrazo grande","2025-02-28T10:19:43.889594Z",47,4.803,"Irrelevant","2025-02-28T10:19:43.889642Z"
49,"1","La verdad, esta última jornada si me pareció muy interesante. En el formato anterior la última jornada era un trámite donde ya sabíamos quién estaba clasificado salvo 1 o 2 grupos random, el único problema ahora es que clasifican casi todos, entonces aunque se movió mucho la tabla, prácticamente nada cambio. Deberían clasificar solo los primeros 16 con los primeros 8 cerrando en casa y seria el mejor formato.","2025-02-28T10:19:52.930430Z",48,7.443,"Irrelevant","2025-02-28T10:19:52.930490Z"
50,"1","En teoria los bombos iniciales es para hacerlo mas representativo, aunque luego se den caminos mas faciles o difíciles durante la fase de grupos","2025-02-28T10:20:06.060466Z",49,11.479,"Irrelevant","2025-02-28T10:20:06.060508Z"
51,"1","Para mi lo ideal serían 4 grupos de 8 y que pasen los 4 primeros de cada grupo, luego sorteo entre 1º y 4º y sorteo entre 3º y 4º. En la fase de grupos solo 1 partido(7en total). Tienes rivales más variados, se premia cada puesto y de los 4 bombos iniciales (2 de cada bombo por grupo) tienes rivales del mismo bombo.","2025-02-28T10:20:29.799371Z",50,21.936,"Irrelevant","2025-02-28T10:20:29.799416Z"
52,"1","A mí dejando de lado la carga física extra a los futbolistas el formato me gusta, se habla mucho de que el Man Citi sigue vivo pero el Madrid o el Bayern con ese porcentaje de partidos ganados y empatados en el antiguo formato estaría en octavos directo y ahora están a una eliminatoria de no solo no entrar en champions sino de ni siquiera ir a europa league este formato castiga a los equipos que hubieran quedado segundos para beneficiar a los que hubieran quedado terceros y para mí eso es más justo además de ver mas partidos entre equipos grandes ya q hay más partidos en general","2025-02-28T10:20:34.677160Z",51,3.217,"Irrelevant","2025-02-28T10:20:34.677188Z"
53,"1","Yo creo que una solución a la fase de pre-octavos es cruces prefijados y clasificación vs el top 8 según tu clasificación general:
1. Si acabas el 9, contra el 24, y asi sucesivamente. Nada de opciones 50/50
2. Y de los que se clasifican, el que peor estaba clasificado en la liga regular es el que le toca al 1° del top 8, y asi sucesivamente.
No habria problemas, todo seria claro, y acabar más alto o más bajo sería una obligación porque cambiaría todo el paradigma de tus cruces.","2025-02-28T10:20:40.796740Z",52,4.742,"Irrelevant","2025-02-28T10:20:40.796780Z"
54,"1","Un poco de Quechua en la intro de Pablo. Saludos de Perú LMI","2025-02-28T10:20:44.450680Z",53,2.39,"Irrelevant","2025-02-28T10:20:44.450714Z"
55,"1","Ya os lo dije en el anterior video que hicisteis sobtre el formato. NO SOIS OBJETIVOS. Partis desde la base de que no os gusta y seleccionais los argumentos que os convienen, es una pena porque normalmente haceis los analisis con mas objetividad. Este formato te puede gustar mas o menos pero tiene la ventaja de ser mas justo, vosotros que decís siempre defender a los mas modestos. Antes los modestos jugaban con 3 equipos superiores, y los del bombo 1 solo con equipos inferiores, ahora es mas igualado. La prueba es la clasificacion de Brest, Lille, celtic etc","2025-02-28T10:20:52.976941Z",54,7.176,"Irrelevant","2025-02-28T10:20:52.977027Z"
56,"1","Viendolo desde afuera (soy argentino) me gustó bastante el formato. Hace varios años no miraba la primera fase de la champions y este año vi varios partidos.","2025-02-28T10:23:01.157289Z",55,6.206,"Positive","2025-02-28T10:23:01.157334Z"
57,"1","También está última jornada este año ha estado muy clara, pero otro año podría ser una locura con muchos más equipos jugándose la vida.  Dicho esto no hay 36 equipos decentes y se ha visto.","2025-02-28T10:23:10.725223Z",56,8.13,"Irrelevant","2025-02-28T10:23:10.725267Z"
58,"1","Pifia Nacho Fantasma 10:04
“A bote pronti”
Se cree muy italiano ","2025-02-28T10:23:15.274167Z",57,3.278,"Irrelevant","2025-02-28T10:23:15.274196Z"
59,"1","Tal vez el formato se podria mejorar con solo 20 equipos que pasen. Top 4 los premias con pase directo a 4tos (haces que la fase liga le den la importancia que se busca) del 5 a 8 pasa a octavos (premias que hayan hecho un trabajo decente) y generas 2 rondas de play off para vender los ""super partidos a muerte"" que quieren vender y les das una linea a los equipos grandes que hagan papelones como el city este año. Un primer play off a unico partido del 13 al 20 y un segundo play off del 9 al 12 vs los ganadores del primer play off a un unico partido (en casa del mejor clasificado). De ahi sacas los que entran a los ""8vos"" y despues haces el bracket clasico de cuartos hasta la final con un sorteo entre los 4 primeros vs los que 4 que sacaste a base de los play off. Sigues solo con 2 partidos extra y les das el premio que se merecen a los equipos que si fueron constantes.","2025-02-28T10:23:19.256804Z",58,2.702,"Irrelevant","2025-02-28T10:23:19.256850Z"
60,"1","""el fútbol es fútbol"" Pablo Espinosa, 2025, grandes joyas del periodismo español","2025-02-28T10:23:24.265929Z",59,3.675,"Irrelevant","2025-02-28T10:23:24.265960Z"
61,"1","A mí en general también me gustaba más el antiguo, pero creo que este es mejorable. Por ejemplo, haciendo un play-in más limitado en el que se clasifiquen directamente los 12 primeros y que del 13 al 22 jueguen unos ""mini dieciseisavos"". O haciendo que los equipos que pasen de dieciseisavos pasen según su clasificación en la liga (p.e. aunque el 24º se cargue al 9º tiene que jugar contra el 1º de la liga regular). Y a partir de cuartos, sorteo puro","2025-02-28T10:23:32.386466Z",60,6.734,"Neutral","2025-02-28T10:23:32.386532Z"
62,"1","6:49 la imagen por si sola anula ese argumento, el Celtic se ha enfrentado a rivales de igual o mejor nivel, respecto a su resultado en la tabla, que el Bayern","2025-02-28T10:23:36.156517Z",61,2.448,"Irrelevant","2025-02-28T10:23:36.156563Z"
63,"1","¿Debe seguir este formato de la champions? No estoy seguro. ¿Debe ser Pablo fulminantemente despedido? Si.","2025-02-28T10:23:42.756843Z",62,5.084,"Irrelevant","2025-02-28T10:23:42.756884Z"
64,"1","Algo a resaltar es que el formato anterior le daba emoción y relevancia a las 3 competiciones (UCL, UEL, UECL) al permitir que los 3ros llegaran a jugar en otra a partir de enero","2025-02-28T10:23:48.650013Z",63,4.64,"Irrelevant","2025-02-28T10:23:48.650053Z"
65,"1","Reconozco que antes de que empezará esta nueva Champions yo era más partidario del antiguo formato (cuatro grupos cada uno, alguno tipo grupo de la muerte y ver a veces cómo el grande si no curraba lo suficiente se iba a la Europa League y en diciembre se sorteaban ya octavos etc) pero en este la verdad que con el paso de las jornadas me ha parecido interesante,  entretenido y hasta emocionante estas últimas jornadas viendo como equipos teóricamente potentes sufrían por clasificarse para el playoff como PSG o el Manchester City o incluso equipos de nivel medio/bajo se metían entre los ocho primeros (Lille) o luchaban hasta las últimas jornadas por meterse arriba (Brest)...
Si bien es cierto que tiene mucho márgen de mejora y respeto vuestra opinión Nacho y Pablo de que pueda no gustaros, a mi me gusta este cambio en la Champions...
Muy bueno el video cracks","2025-02-28T10:23:52.544443Z",64,2.468,"Irrelevant","2025-02-28T10:23:52.544475Z"
66,"1","Pues a mi como aficionado de su equipo q al final ve a su equipo y si acaso algun partido suelto, ne ha gustado mucho el jugar contra 8 equipos distintos.","2025-02-28T10:24:02.568750Z",65,8.825,"Negative","2025-02-28T10:24:02.568795Z"
67,"1","5:25 bro, no, la mejor competición del mundo a nivel de clubes es LA COPA LIBERTADORES, no traten de entenderla","2025-02-28T10:24:14.469322Z",66,10.169,"Irrelevant","2025-02-28T10:24:14.469378Z"
68,"1","También ha habido muchos partidos más interesantes y le agrego emoción ver semana a semana quién subía y bajaba. En el antiguo formato veías 2 partidos buenos por cada 10.","2025-02-28T10:24:19.437149Z",67,3.27,"Irrelevant","2025-02-28T10:24:19.437190Z"
69,"1","#PifiasLMI 9:40 ""Que el city ganará le ponía más complicada la vida al Dynamo de Zagreb que ni ganando al Milan se clasificó"" En la última jornada el Dynamo de Zagreb jugó contra el Arsenal, no contra el Milan que estaba jugando contra el Girona. Grande Pablo","2025-02-28T10:24:23.132580Z",68,2.133,"Irrelevant","2025-02-28T10:24:23.132623Z"
70,"1","Creo que la solución para el tema del camino desigual desde playoffs sería que quienes lo consigan ganar sean organizados según su posición en la fase liga, y se enfrenten con quienes pasaron directamente a octavos igualmente organizados. Así, si el 24 pasa los playoffs sí o sí jugaría en octavos contra el 1. Desde cuartos sorteo puro.","2025-02-28T10:24:28.046901Z",69,3.574,"Irrelevant","2025-02-28T10:24:28.046995Z"
71,"1","Pues a mi me ha gustado mucho mas que el antiguo formato. Madrid, PSG y City estuvieron a punto de quedarse fuera, cosa que en el antiguo formato no pasaria nunca","2025-02-28T10:24:33.219337Z",70,2.574,"Positive","2025-02-28T10:24:33.219384Z"
72,"1","Yo intentaría ir hacia un formato suizo más puro. Es decir, después de cada partido habría que enfrentar a los ganadores con los ganadores y perdedores con perdedores, y eso al final creo que acaba sacando una mejor representación de los equipos más fuertes y más débiles en la competición.","2025-02-28T10:24:40.737159Z",71,4.957,"Irrelevant","2025-02-28T10:24:40.737199Z"
73,"1","comparto lo de que si la mitad de abajo quedase eliminada en primera ronda mejoraría mucho, el miércoles ningún partido era totalmente atractivo por sí mismo y la mejor alternativa era estar en el directo para estar pendiente de todos los partidos, considerando que estaba casi todo escrito. eso hace recordar a las temporadas anteriores en que era sagrado que tanto martes y miércoles junto a mis amigos veíamos la última jornada de fase de grupos con dos o tres pantallas simultaneas como mínimo, esta vez no causó esa necesidad.","2025-02-28T10:24:44.529049Z",72,2.151,"Irrelevant","2025-02-28T10:24:44.529094Z"
74,"1","En el formato anterior en cuartos se sorteaban todos contra todos y muchas veces los 2 equipos que habian realizado mejor champions les tocaba enfrentarse entre ellos, ahora eso no pasa, si no hasta la final si es que avanzan.","2025-02-28T10:24:53.122129Z",73,7.11,"Irrelevant","2025-02-28T10:24:53.122193Z"
75,"1","4 grupos de 9, a partir de ahí no va pasar pero clasificación a octavos solamente.

Tomando en cuenta que quedrán mantener playoffs: se juega playoffs como está planeado y se sortea para 8os por 3 bombos (los 1os de grupo, los 2os y playoffs) 

De esa manera puedes acomodar  que 1os se enfrentan hipotéticamente a los 2os hasta QF y los 1os entre ellos hasta SF","2025-02-28T10:25:00.156769Z",74,5.445,"Irrelevant","2025-02-28T10:25:00.156923Z"
76,"1","Hombre, precisamente con la carga de partidos que hay yo creo que pasar a 1/8 directamente es bastante importante.

Dais buenos puntos a tener en cuenta, pero me quedo con este formato más que con el anterior. Aunque reconozco que me gustaba el trasvase entre competiciones, porque también subía el nivel de Europa League y de Conference.","2025-02-28T10:25:06.448587Z",75,4.697,"Irrelevant","2025-02-28T10:25:06.448662Z"
77,"1","Yo estuve viendo el cuadro final en el trabajo y entre un compañero y yo no lográbamos entender cómo se iba a desarrollar la fase final. Sinceramente, el desarrollo de partidos en la fase de liga no estuvo mal (mejor de lo que esperaba) pero esta fase final no tiene ni pies ni cabeza para mí. No era tan difícil UEFA…","2025-02-28T10:25:21.360653Z",76,13.661,"Irrelevant","2025-02-28T10:25:21.360698Z"
78,"1","No me gusta este formato, al haber más partidos hay más posibilidades de que Pablo aparezca en los videos","2025-02-28T10:25:25.502612Z",77,31.667,"Irrelevant","2025-02-28T10:26:02.701493Z"
